MejorEval,PromedioEval,ContadorFueraDeRango,UltimaEnRango
15.971816,45.083827,10,1.0
15.971816,82.820352,10,1.0
15.971816,78.497865,10,1.0
15.971816,87.911443,10,1.0
13.063715,56.237511,10,1.0
12.461416,57.373886,10,1.0
8.967330,42.565018,10,1.0
7.532515,46.007608,10,1.0
4.975372,40.430646,10,1.0
4.111032,33.287778,10,1.0
3.043520,33.598236,10,1.0
3.043520,32.835836,10,1.0
3.043520,36.244786,10,1.0
3.043520,34.547908,10,1.0
2.776531,34.383562,10,1.0
2.609516,34.006533,10,1.0
1.801684,27.491196,10,1.0
1.801684,36.104381,10,1.0
1.801684,43.288296,10,1.0
1.801684,63.166889,10,1.0
1.801684,72.594037,10,1.0
1.801684,48.157860,10,1.0
1.801684,64.622506,10,1.0
1.688169,35.203995,10,1.0
1.688169,38.442486,10,1.0
1.688169,50.799569,10,1.0
1.688169,42.789653,10,1.0
1.460889,25.786173,10,1.0
1.460889,21.843386,10,1.0
1.460889,22.643411,10,1.0
1.460889,16.646121,10,1.0
1.460889,20.562124,10,1.0
1.460889,21.610611,10,1.0
1.358118,14.426547,10,1.0
1.243407,16.404705,10,1.0
1.243407,19.339446,10,1.0
1.243407,45.436357,10,1.0
1.243407,25.743763,10,1.0
1.243407,48.632180,10,1.0
1.243407,27.645165,10,1.0
1.243407,35.221630,10,1.0
1.023955,33.024765,10,1.0
0.916888,33.835568,10,1.0
0.889340,38.686221,10,1.0
0.889340,31.349961,10,1.0
0.889340,37.227746,10,1.0
0.889340,33.827435,10,1.0
0.889340,62.800782,10,1.0
0.889340,39.377399,10,1.0
0.889340,72.836330,10,1.0
0.889340,48.256149,10,1.0
0.889340,58.791078,10,1.0
0.889340,95.842509,10,1.0
0.889340,57.047142,10,1.0
0.889340,41.319330,10,1.0
0.889340,52.188015,10,1.0
0.889340,42.070711,10,1.0
0.889340,82.152689,10,1.0
0.889340,57.317252,10,1.0
0.889340,98.192429,10,1.0
0.889340,66.443848,10,1.0
0.889340,63.164592,10,1.0
0.889340,79.348168,10,1.0
0.889340,104.476839,10,1.0
0.889340,35.690104,10,1.0
0.889340,74.785080,10,1.0
0.889340,37.062393,10,1.0
0.889340,66.596768,10,1.0
0.605116,34.244210,10,1.0
0.605116,64.165735,10,1.0
0.605116,67.302977,10,1.0
0.605116,42.510085,10,1.0
0.487054,81.173622,10,1.0
0.487054,53.736494,10,1.0
0.374470,38.506849,10,1.0
0.374470,118.125002,10,1.0
0.374470,145.657559,10,1.0
0.374470,98.761628,10,1.0
