,MejorEval,SolActiva
0,87.29069353333333,88.70532863333334
1,87.22600533333333,90.06169816666666
2,86.58857679999998,89.91289769999997
3,86.31145363333331,90.07040966666665
4,85.67429736666665,89.92949376666667
5,85.43831573333334,89.9713745
6,83.3450611,89.11112376666667
7,83.28600233333333,90.744705
8,83.2811551,91.6576406
9,83.20177859999998,91.95726166666665
10,83.20177633333333,91.67678500000002
11,83.02393136666666,93.01977280000001
12,82.94835103333334,93.25984996666666
13,81.98884346666665,91.68115696666669
14,81.91014753333333,91.64810059999999
15,80.50450793333333,90.63606206666667
16,80.08734826666665,91.67592886666668
17,80.08050046666666,92.62402683333333
18,80.07989189999998,92.09790746666667
19,79.92526056666665,91.1296477666667
20,79.92385153333332,91.33218830000001
21,79.89845379999998,90.35732710000002
22,79.52595893333333,90.78935113333334
23,79.33537393333332,90.42558920000002
24,79.2586415,90.86256766666669
25,79.0061782,91.38597113333334
26,78.4215514333333,92.19220846666667
27,78.19020843333332,91.44556926666668
28,78.12088246666666,90.95886283333334
29,77.96702556666666,90.4610636
30,77.5891013,90.5426193
31,76.83704806666665,90.40322686666666
32,76.83702343333333,90.77934126666665
33,76.62421369999998,90.32617103333331
34,76.6241637,90.6873333
35,76.28622436666666,90.47766483333335
36,76.24631573333333,91.27646826666665
37,75.40910143333332,89.50595146666667
38,75.37321766666666,90.81294469999999
39,74.94598663333332,91.21018443333334
40,74.84380046666665,91.18752426666666
41,74.12318229999998,90.61347640000001
42,73.74102996666666,91.44021309999998
43,73.24174529999999,91.66995443333333
44,73.24171596666665,91.79041383333336
45,73.16379066666666,91.79784
46,73.16376556666664,93.2771855
47,73.13322063333332,93.2410322
48,73.13294939999997,93.64761539999999
49,72.83178179999999,92.94634336666668
50,72.82379806666667,92.9077316
51,72.82340896666666,91.3795524
52,72.72494283333336,91.06502463333332
53,72.6093512,90.88795009999998
54,72.0035455,90.84899353333337
55,71.91472000000002,89.5382791
56,71.84286853333334,89.91327923333333
57,71.82737123333335,90.7807711
58,71.61737946666668,90.1049383
59,71.48160353333334,90.52795689999999
60,71.31701096666667,90.77390460000001
61,70.6912106,89.28037869999999
62,70.61466133333334,88.97656770000002
63,70.38807360000001,88.5606782666667
64,70.38752996666668,88.28849463333333
65,69.80480933333335,88.37363310000002
66,69.58003340000002,88.40413270000002
67,69.57963793333334,90.68456619999999
68,69.57963793333334,90.63176313333332
69,69.57963793333334,89.85970663333333
70,69.57963793333334,90.10368796666668
71,69.32368686666668,91.4324548
72,69.32368686666668,91.51142393333335
73,69.02114353333334,90.5967763
74,68.90734173333334,90.7283151
75,68.83393900000002,90.23827546666668
76,68.83081186666666,90.93987296666663
77,68.80994123333333,90.65421423333332
78,68.80994123333333,89.86180953333336
79,68.80950103333335,89.49206000000001
80,68.80948356666667,89.49846343333333
81,68.61333313333334,89.00155199999999
82,67.99306333333335,89.07925586666667
