,MejorEval,SolActiva
527,44.05669606666666,47.97378536666666
528,44.05311086666667,47.97020016666667
529,44.052807800000004,47.969897100000004
530,44.0526728,47.969762100000004
531,44.05188356666667,47.96897286666667
532,44.05188356666667,47.96897286666667
533,43.999309700000005,47.916399000000006
534,43.999309700000005,47.916399000000006
535,43.92405433333333,47.84114363333334
536,43.898723733333334,47.81581303333334
537,43.89645953333334,47.81354883333334
538,43.89003383333334,47.80712313333334
539,43.890020400000004,47.807109700000005
540,43.75189846666667,47.66898776666667
541,43.75189733333333,47.66898663333334
542,43.75189623333333,47.668985533333334
543,43.75165406666667,47.66874336666667
544,43.709243066666666,47.62633236666667
545,43.634413566666666,47.55150286666666
546,43.6328837,47.549972999999994
547,43.6328837,47.549972999999994
548,43.6328102,47.549899499999995
549,43.6087106,47.525799899999996
550,43.606138133333324,47.52322743333332
551,43.60042733333333,47.51751663333332
552,43.6003442,47.517433499999996
553,43.57422056666667,47.49130986666667
554,43.57420546666667,47.49129476666666
555,43.574137033333336,47.49122633333333
556,43.4704292,47.38751849999999
557,43.464972800000005,47.38206209999999
558,43.4380689,47.35515819999999
559,43.437480433333334,47.35456973333332
560,43.43733703333333,47.35442633333332
561,43.4371805,47.3542698
562,43.43717773333333,47.35426703333333
563,43.36192236666667,47.27901166666666
564,43.3619214,47.27901069999999
565,43.26737813333333,47.18446743333333
566,42.866192633333334,46.783281933333335
567,42.866192633333334,46.783281933333335
568,42.86559213333333,46.78268143333333
569,42.86559213333333,46.78268143333333
570,42.865588599999995,46.78267789999999
571,42.865588599999995,46.78267789999999
572,42.865587966666666,46.78267726666666
573,42.7621189,46.6792082
574,42.76152176666666,46.67861106666667
575,42.76146286666666,46.67855216666667
576,42.75815480000001,46.6752441
577,42.75815480000001,46.6752441
578,42.75815273333333,46.67524203333333
579,42.75735306666666,46.67444236666667
580,42.756941033333334,46.674030333333334
581,42.75693863333333,46.67402793333333
582,42.67720799999999,46.594297299999994
583,42.67720169999999,46.59429099999999
584,42.67672919999999,46.59381849999999
585,42.67605879999999,46.59314809999999
586,42.67605879999999,46.59314809999999
587,42.67596246666666,46.59305176666666
588,42.67577359999999,46.59286289999999
589,42.668665,46.58575429999999
590,42.66493946666666,46.58202876666665
591,42.66493936666666,46.58202866666665
592,42.66493936666666,46.58202866666665
593,42.46004683333332,46.37713613333332
594,42.46004683333332,46.37713613333332
595,42.32982919999999,46.24691849999999
596,42.3298145,46.2469038
597,42.3298145,46.2469038
598,42.32981096666666,46.246900266666664
599,42.32976596666666,46.246855266666664
600,42.226296899999994,46.143386199999995
601,42.22629323333333,46.14338253333333
602,42.20227716666666,46.11936646666666
603,42.202165699999995,46.119254999999995
604,42.20215526666666,46.119244566666666
605,42.19606146666667,46.113150766666664
606,42.1956216,46.1127109
607,42.18928940000001,46.10637870000001
608,42.18028663333334,46.09737593333333
609,42.17374756666667,46.09083686666666
610,42.17374373333334,46.09083303333333
611,42.17272986666668,46.089819166666665
612,42.17020773333334,46.087297033333336
613,42.17019173333334,46.08728103333333
614,42.17018910000001,46.087278399999995
615,42.17018910000001,46.087278399999995
616,42.17018910000001,46.087278399999995
617,42.17018866666668,46.08727796666666
618,42.17018273333335,46.08727203333333
619,42.16870546666667,46.085794766666666
620,42.16870546666667,46.085794766666666
621,42.168539833333334,46.085629133333335
622,42.168518299999995,46.0856076
623,42.168243866666664,46.08533316666667
624,42.167981133333335,46.085070433333335
625,42.1677479,46.0848372
626,42.156078,46.0731673
627,42.156078,46.0731673
628,42.15593750000001,46.0730268
629,42.15593750000001,46.0730268
630,42.15590866666667,46.07299796666667
631,42.153265600000005,46.070354900000005
632,42.153265600000005,46.070354900000005
633,42.153265600000005,46.070354900000005
634,42.1530141,46.07010340000001
635,42.1530141,46.07010340000001
636,42.141169600000005,46.058258900000006
637,42.12060536666667,46.037694666666674
638,42.12054680000001,46.03763610000001
639,42.12054680000001,46.03763610000001
640,42.12054680000001,46.03763610000001
641,42.11939946666667,46.03648876666668
642,42.11939946666667,46.03648876666668
643,42.11882156666668,46.035910866666676
644,42.10825246666668,46.02534176666668
645,42.10579326666667,46.022882566666674
646,42.10426706666668,46.02135636666667
647,42.10422203333334,46.02131133333334
648,42.10417336666668,46.02126266666667
649,42.10416046666667,46.02124976666667
650,42.10416046666667,46.02124976666667
651,42.104033766666674,46.02112306666667
652,42.10403113333334,46.02112043333334
653,42.10403110000001,46.0211204
654,42.104029399999995,46.0211187
655,42.02649103333333,45.94358033333334
656,42.025380733333336,45.94247003333334
657,42.02507426666667,45.94216356666667
658,41.88108053333334,45.79816983333334
659,41.88108053333334,45.79816983333334
