MejorEval,PromedioEval,ContadorFueraDeRango,UltimaEnRango
367.132308,1987.754874,6,1.0
262.095114,6845.344580,6,1.0
140.566544,3945.844680,6,1.0
140.566544,3407.686472,6,1.0
140.566544,10953.907671,6,1.0
140.566544,32928.787276,6,1.0
140.566544,30800.931060,6,1.0
140.566544,27872.680679,6,1.0
140.566544,35906.982602,6,1.0
140.566544,39214.127232,6,1.0
140.566544,94475.124443,6,1.0
140.566544,214611.085920,6,1.0
140.566544,182913.127739,6,1.0
140.566544,146066.461656,6,1.0
140.566544,92165.561984,6,1.0
140.566544,294594.485355,6,1.0
140.566544,182590.185647,6,1.0
140.566544,256247.564185,6,1.0
140.566544,51987.437255,6,1.0
123.179766,286350.543628,6,1.0
123.179766,12875.892328,6,1.0
72.416788,252741.304346,6,1.0
72.416788,41006.965988,6,1.0
72.416788,120384.838582,6,1.0
72.416788,16324.872882,6,1.0
72.416788,63768.019251,6,1.0
72.416788,22165.052155,6,1.0
72.416788,28018.092993,6,1.0
72.416788,53308.065146,6,1.0
72.416788,40202.875777,6,1.0
72.416788,23498.452679,6,1.0
72.416788,23329.591636,6,1.0
72.416788,5117.215315,6,1.0
72.416788,11593.720798,6,1.0
55.182386,11414.090450,6,1.0
49.057220,72510.708636,6,1.0
49.057220,30625.759562,6,1.0
49.057220,42848.134217,6,1.0
49.057220,25559.090956,6,1.0
49.057220,148177.195405,6,1.0
49.057220,9168.978591,6,1.0
49.057220,6891.468596,6,1.0
49.057220,6551.334030,6,1.0
49.057220,4828.365949,6,1.0
49.057220,5478.678563,6,1.0
49.057220,6410.887980,6,1.0
49.057220,9791.212663,6,1.0
49.057220,3535.495024,6,1.0
49.057220,12882.844710,6,1.0
49.057220,1805.531894,6,1.0
49.057220,2204.176422,6,1.0
49.057220,1663.404433,6,1.0
49.057220,4218.967243,6,1.0
49.057220,2107.798511,6,1.0
27.258810,1107.068699,6,1.0
20.259741,2627.068172,6,1.0
20.259741,874.885449,6,1.0
20.259741,2246.735313,6,1.0
20.259741,2553.714434,6,1.0
20.259741,1023.168268,6,1.0
20.259741,2770.119066,6,1.0
20.259741,1625.464575,6,1.0
20.259741,1768.729550,6,1.0
20.259741,3301.496937,6,1.0
20.259741,9457.370580,6,1.0
20.259741,1248.256097,6,1.0
20.259741,1046.895188,6,1.0
20.259741,448.698527,6,1.0
20.259741,1211.244318,6,1.0
20.259741,1643.843280,6,1.0
20.259741,2028.573658,6,1.0
20.259741,330.178878,6,1.0
20.259741,768.869590,6,1.0
16.113509,386.746215,6,1.0
16.113509,256.771769,6,1.0
16.113509,541.057583,6,1.0
16.113509,197.044530,6,1.0
16.113509,248.902515,6,1.0
16.113509,276.386750,6,1.0
16.113509,266.584770,6,1.0
16.113509,622.315870,6,1.0
16.113509,554.800429,6,1.0
16.113509,4111.818750,6,1.0
16.113509,1316.616597,6,1.0
14.129970,10110.917230,6,1.0
12.705498,252.111453,6,1.0
10.974770,1181.588842,6,1.0
10.974770,1511.176472,6,1.0
10.974770,1052.133354,6,1.0
10.974770,144.556487,6,1.0
10.974770,551.566288,6,1.0
10.974770,128.162272,6,1.0
10.974770,187.940890,6,1.0
10.400081,79.818150,6,1.0
10.400081,123.013436,6,1.0
10.400081,112.852040,6,1.0
10.349283,108.025721,6,1.0
10.349283,190.802514,6,1.0
10.349283,177.012855,6,1.0
10.349283,172.768113,6,1.0
10.292130,82.893980,6,1.0
10.292130,268.261898,6,1.0
10.292130,80.447824,6,1.0
9.704986,97.280299,6,1.0
9.704986,85.546009,6,1.0
9.704986,137.432913,6,1.0
9.704986,363.689642,6,1.0
9.704986,295.819071,6,1.0
9.704986,1914.991375,6,1.0
9.704986,80.350862,6,1.0
9.704986,266.455979,6,1.0
9.704986,106.659520,6,1.0
9.704986,200.025356,6,1.0
9.704986,43.836553,6,1.0
8.376207,183.356493,6,1.0
7.819734,34.678478,6,1.0
7.587532,177.764562,6,1.0
6.919086,41.232599,6,1.0
6.919086,110.242049,6,1.0
6.919086,44.297853,6,1.0
6.919086,50.901136,6,1.0
6.919086,29.376840,6,1.0
6.919086,72.114929,6,1.0
6.919086,36.116955,6,1.0
6.919086,46.075979,6,1.0
6.919086,37.898243,6,1.0
6.919086,41.755587,6,1.0
6.919086,68.638010,6,1.0
6.919086,425.900129,6,1.0
6.919086,41.945523,6,1.0
6.919086,355.919777,6,1.0
6.919086,57.375456,6,1.0
6.919086,287.798977,6,1.0
6.919086,43.952128,6,1.0
6.919086,39.124697,6,1.0
6.919086,16.263526,6,1.0
6.919086,20.442511,6,1.0
6.919086,21.566328,6,1.0
6.919086,18.554035,6,1.0
6.910033,87.986150,6,1.0
6.774826,18.921351,6,1.0
6.774694,30.606423,6,1.0
6.764796,13.260891,6,1.0
6.724975,39.253877,6,1.0
6.659570,20.257478,6,1.0
6.642836,14.287656,6,1.0
6.556966,10.993608,6,1.0
6.556966,12.783411,6,1.0
6.556966,11.731626,6,1.0
6.532306,12.320708,6,1.0
6.501247,14.746778,6,1.0
6.445021,12.653389,6,1.0
6.421678,11.396207,6,1.0
6.421678,13.210733,6,1.0
6.417096,10.242472,6,1.0
6.407092,12.452090,6,1.0
6.354148,10.823752,6,1.0
6.354148,11.584639,6,1.0
6.354148,9.915827,6,1.0
6.354148,12.392951,6,1.0
6.342295,10.397779,6,1.0
6.342295,11.333886,6,1.0
6.342295,9.816034,6,1.0
6.342295,9.872917,6,1.0
6.342295,10.525889,6,1.0
6.342295,9.547176,6,1.0
6.342295,9.343378,6,1.0
6.342295,9.161819,6,1.0
6.342295,9.142624,6,1.0
6.342295,9.423195,6,1.0
6.342295,8.826328,6,1.0
6.342295,8.476150,6,1.0
6.342295,9.250992,6,1.0
6.327389,9.104234,6,1.0
6.315618,7.709940,6,1.0
6.315618,7.608745,6,1.0
6.315618,13.135886,6,1.0
6.315618,7.768918,6,1.0
6.315618,7.730256,6,1.0
6.315618,7.597598,6,1.0
6.315618,7.328872,6,1.0
6.315618,8.260745,6,1.0
6.315618,8.054386,6,1.0
6.315618,7.394778,6,1.0
6.315618,7.048791,6,1.0
6.315618,8.138574,6,1.0
6.315618,7.092155,6,1.0
6.315618,7.434079,6,1.0
6.313982,9.057436,6,1.0
6.313982,8.942731,6,1.0
6.313982,9.390879,6,1.0
6.298868,7.152787,6,1.0
6.297311,9.960003,6,1.0
6.297311,6.701250,6,1.0
6.297311,7.561479,6,1.0
6.274995,7.821856,6,1.0
6.274995,8.754655,6,1.0
6.274995,11.159255,6,1.0
6.274995,8.738416,6,1.0
6.274995,7.828948,6,1.0
6.274995,7.678888,6,1.0
6.274995,8.279102,6,1.0
6.274995,6.655589,6,1.0
6.274995,7.021353,6,1.0
6.272511,6.884827,6,1.0
6.272511,8.135331,6,1.0
6.272511,8.130796,6,1.0
6.263812,6.821616,6,1.0
6.257794,7.161980,6,1.0
6.252320,7.608434,6,1.0
6.227965,6.475591,6,1.0
6.216275,6.986546,6,1.0
6.209146,6.580975,6,1.0
6.164149,6.817095,6,1.0
6.131307,6.417597,6,1.0
6.102135,6.622006,6,1.0
6.097025,6.415869,6,1.0
6.066687,6.548532,6,1.0
6.065417,6.417092,6,1.0
6.048646,6.570263,6,1.0
6.032574,6.506223,6,1.0
6.024806,6.712300,6,1.0
6.024806,6.656544,6,1.0
6.024806,6.861041,6,1.0
6.022728,6.792888,6,1.0
6.022728,6.881574,6,1.0
6.022728,6.813907,6,1.0
6.010280,6.931257,6,1.0
5.999517,6.739548,6,1.0
5.988305,6.804374,6,1.0
5.983532,6.818207,6,1.0
5.965381,6.797721,6,1.0
5.965381,7.006803,6,1.0
5.965381,6.795836,6,1.0
5.965381,7.010886,6,1.0
5.965381,6.725671,6,1.0
5.935595,6.952889,6,1.0
5.924603,6.797403,6,1.0
5.888481,6.876710,6,1.0
5.831470,6.901985,6,1.0
5.807187,6.738873,6,1.0
5.790445,7.093158,6,1.0
5.784975,7.305552,6,1.0
5.760536,7.222603,6,1.0
5.760536,7.687013,6,1.0
5.739379,7.402868,6,1.0
5.710061,7.145012,6,1.0
5.686975,7.477599,6,1.0
5.652430,7.845912,6,1.0
5.652430,7.448709,6,1.0
5.603955,8.064476,6,1.0
5.599323,8.314408,6,1.0
5.545832,8.289038,6,1.0
5.545832,8.358699,6,1.0
5.515230,8.677103,6,1.0
5.496845,9.539027,6,1.0
5.496845,11.343032,6,1.0
5.461465,9.968516,6,1.0
5.461465,11.799330,6,1.0
5.461465,11.003862,6,1.0
5.461465,11.078853,6,1.0
5.397529,11.927083,6,1.0
5.397529,10.520575,6,1.0
5.397529,15.895393,6,1.0
5.397529,12.336231,6,1.0
5.397529,11.248783,6,1.0
5.397529,16.443960,6,1.0
5.397529,12.203354,6,1.0
5.397529,15.802286,6,1.0
5.397529,12.189647,6,1.0
5.397529,17.736793,6,1.0
5.397529,15.837363,6,1.0
5.397529,19.469073,6,1.0
5.397529,39.863289,6,1.0
5.396132,13.441646,6,1.0
5.364601,20.730676,6,1.0
5.364601,13.271667,6,1.0
5.364601,17.818698,6,1.0
5.364601,15.569661,6,1.0
5.364601,18.434156,6,1.0
5.364601,14.293421,6,1.0
5.364601,18.236744,6,1.0
5.364601,15.610012,6,1.0
5.325825,18.070324,6,1.0
5.325825,17.423791,6,1.0
5.325825,20.785282,6,1.0
5.325825,18.643380,6,1.0
5.325825,33.957388,6,1.0
5.325825,84.311338,6,1.0
5.325825,15.693503,6,1.0
5.325825,24.455882,6,1.0
5.322598,20.245477,6,1.0
5.322598,41.495892,6,1.0
5.322598,17.937554,6,1.0
5.322598,26.552294,6,1.0
5.322598,54.992142,6,1.0
5.322598,18.502894,6,1.0
5.322598,38.756912,6,1.0
5.322598,21.815755,6,1.0
5.322598,25.366553,6,1.0
5.322598,23.004415,6,1.0
5.322598,29.562402,6,1.0
5.322598,15.910889,6,1.0
5.322598,24.912381,6,1.0
5.322598,22.526652,6,1.0
5.322598,22.001212,6,1.0
5.322598,22.730735,6,1.0
5.322598,20.801937,6,1.0
5.322598,35.099026,6,1.0
5.322598,22.665930,6,1.0
5.309416,18.347528,6,1.0
5.309416,16.875970,6,1.0
5.309416,17.286510,6,1.0
5.309416,14.959870,6,1.0
5.308265,15.024417,6,1.0
5.308265,15.470688,6,1.0
5.288367,16.254495,6,1.0
5.237284,19.863040,6,1.0
5.226469,17.195720,6,1.0
5.226469,18.917190,6,1.0
5.226469,17.516893,6,1.0
5.226469,17.729317,6,1.0
5.226469,15.678145,6,1.0
5.226469,16.056184,6,1.0
5.226469,17.548565,6,1.0
5.226469,16.250216,6,1.0
5.226469,15.082529,6,1.0
5.226469,17.088477,6,1.0
5.226469,14.558339,6,1.0
5.226469,19.687491,6,1.0
5.226469,19.487660,6,1.0
5.221428,24.945202,6,1.0
5.205088,29.346315,6,1.0
5.205088,19.216614,6,1.0
5.205088,45.224892,6,1.0
5.205088,30.578371,6,1.0
5.205088,19.594928,6,1.0
5.205088,22.367141,6,1.0
5.205088,25.915081,6,1.0
5.205088,24.634804,6,1.0
5.187036,40.926748,6,1.0
5.186255,27.347251,6,1.0
5.184860,30.169742,6,1.0
5.184860,17.594817,6,1.0
5.184860,23.466839,6,1.0
5.184860,29.397465,6,1.0
5.184860,26.342622,6,1.0
5.164838,23.253860,6,1.0
5.164838,24.699806,6,1.0
5.164838,43.639146,6,1.0
5.164838,22.918041,6,1.0
5.164838,29.967067,6,1.0
5.164838,61.563361,6,1.0
5.164838,53.773223,6,1.0
5.164838,35.777626,6,1.0
5.164838,27.288071,6,1.0
5.164838,41.733292,6,1.0
5.164742,37.481135,6,1.0
5.164742,32.038726,6,1.0
5.164742,20.746679,6,1.0
5.164742,25.991175,6,1.0
5.164742,30.592028,6,1.0
5.164742,25.061763,6,1.0
5.164742,23.661404,6,1.0
5.164742,23.527005,6,1.0
5.163417,29.829367,6,1.0
5.163033,26.377583,6,1.0
5.163033,22.898009,6,1.0
5.163033,33.288938,6,1.0
5.163033,20.764297,6,1.0
5.159892,27.329265,6,1.0
5.159892,26.564582,6,1.0
5.159892,39.043885,6,1.0
5.152146,47.265687,6,1.0
5.144888,26.484002,6,1.0
5.144888,56.912222,6,1.0
5.125920,104.612312,6,1.0
5.122186,124.044356,6,1.0
5.094854,70.829129,6,1.0
5.094854,195.476542,6,1.0
5.086753,61.921704,6,1.0
5.086753,27.759038,6,1.0
5.086753,30.604045,6,1.0
5.083854,48.930726,6,1.0
5.080792,95.350284,6,1.0
5.080792,26.336349,6,1.0
5.074571,23.872589,6,1.0
5.074571,32.315313,6,1.0
5.074571,27.009855,6,1.0
5.074571,45.439625,6,1.0
5.072963,23.696878,6,1.0
5.072963,32.874039,6,1.0
5.072963,20.726874,6,1.0
5.072963,26.477079,6,1.0
5.064874,26.242980,6,1.0
5.056220,37.111821,6,1.0
5.051942,32.635821,6,1.0
5.041379,27.435771,6,1.0
5.027475,19.933551,6,1.0
5.019884,52.667201,6,1.0
5.019884,33.129858,6,1.0
5.019884,27.034432,6,1.0
5.019884,33.848859,6,1.0
5.019884,22.911396,6,1.0
5.019884,47.977812,6,1.0
5.009422,41.993516,6,1.0
