MejorEval,PromedioEval
423.639182,4292.052971
922.927772,4550.227874
1182.997710,4446.707818
1346.343202,4350.679230
819.011430,4290.719972
665.494972,4174.876332
494.382008,4426.246195
856.983504,4653.515224
916.392893,4563.343255
1000.463086,4601.956982
1223.539745,4927.782897
1321.509458,4869.932869
1211.888387,4471.966279
778.299050,4112.718925
1306.228560,4598.273094
1077.221626,4593.775004
547.177658,4491.647456
782.014873,4029.031680
820.132987,4211.305405
1126.722206,4222.979521
1058.504520,3955.502599
849.892035,4223.293078
974.125630,4289.133794
1069.688875,4073.684061
862.211708,4106.960796
778.726491,4376.498964
1747.338512,4328.941799
986.158142,4448.249025
1841.218943,4828.735319
1394.620860,4883.432720
1395.726218,4720.253636
770.615890,4299.075293
932.157395,4375.269540
686.997906,4683.194559
1014.756305,4151.628412
1170.174005,4100.283149
1062.933537,4260.804755
1418.667673,4347.558182
1017.959526,3835.063591
1192.134554,3894.846138
1000.889141,3978.864798
1118.241421,3993.308085
902.102964,3819.891511
655.824422,4027.505738
1209.712389,3982.955521
1368.070015,4126.035960
967.219351,4079.635915
1431.923277,4449.449345
1417.625595,4539.209947
1190.720895,4030.359062
1219.551940,3725.256754
615.845511,3919.460856
1011.280151,3687.252338
967.959590,3933.948877
1092.453253,3846.622757
1296.757896,4226.061593
757.287896,4728.810964
837.662233,4562.847835
1476.165049,4161.824252
1311.899392,4437.682700
1488.439197,4510.676200
650.634773,4414.097742
1391.795883,5034.301353
942.864021,4844.518278
961.399837,4904.639815
1157.888742,4623.153855
1370.584756,4648.499847
1286.938191,4427.535295
961.746554,4790.521159
1348.625284,4520.690013
1564.121551,4239.673034
1407.739058,4321.261226
1282.074412,4149.942796
1074.568792,4195.624320
1450.404458,4333.585684
826.972166,3871.390896
653.878660,3843.842028
770.017224,3887.799024
459.098195,4180.502825
1007.930348,4347.322106
939.350080,4292.171027
1257.488900,4370.314377
1043.630625,4647.293486
1508.202214,4815.967139
1787.870515,4756.927583
1980.266303,4586.515343
965.005306,4441.895116
1030.163268,4360.710676
769.825004,4014.421753
882.278504,4019.372752
754.222528,3890.829144
985.063842,4175.345746
1318.920377,4137.379793
706.595093,4253.471970
1231.593871,4292.328354
848.115833,4143.099148
1252.182036,4365.124468
1138.009422,4339.004504
968.764897,4178.692857
1787.557742,4206.387719
898.591059,4148.945245
1326.420101,4406.786438
893.225167,4721.857212
1432.971001,4774.689444
1315.103865,4733.843193
1448.455543,4550.552623
1593.444814,4933.056985
1207.836903,4606.211493
1574.796979,4653.549342
1977.368857,4744.274379
1581.564703,4699.627635
1230.616622,4742.123694
1548.059667,4846.017429
1255.060313,4530.635998
1834.527596,4927.274468
1312.798891,4755.346042
1955.043353,4980.494184
1175.536810,4516.024136
1597.299374,4786.402184
1469.030825,4765.526300
657.630106,4577.326371
726.849555,4560.280978
681.136423,4602.955968
847.160748,4108.686631
1060.510013,4103.722467
1107.970535,4082.432215
1341.580769,4360.530095
1499.937715,4241.930387
1255.596487,4206.406023
1234.053096,4453.365118
703.252897,4092.631628
801.560647,4125.009708
1233.130194,4119.066840
789.437887,4360.915257
949.013518,4181.175547
544.668344,3947.984600
1353.859349,3674.989748
498.823538,3541.850377
442.764909,3955.108169
809.036859,3766.571782
951.105563,4063.300456
1070.749486,4315.203041
470.341431,3826.310649
544.166555,3831.961937
