# Semilla: 1729461999
MejorEval,PromedioEval,DiversidadPromedio,DiversidadMin,EntropíaGen
19.537321,77.309112,0.487314,0.303714,0.999106
19.537321,69.692367,0.483233,0.265643,0.998208
19.537321,70.854890,0.476455,0.258714,0.997243
19.537321,67.131714,0.473314,0.247071,0.996604
19.537321,65.682078,0.475871,0.240929,0.996447
19.537321,65.970344,0.469392,0.245286,0.994829
19.537321,63.770543,0.468031,0.249000,0.994198
19.537321,61.571806,0.467673,0.243643,0.994275
19.537321,61.125556,0.459969,0.248571,0.993764
19.537321,61.624199,0.453445,0.234643,0.991957
19.537321,59.914832,0.455196,0.232643,0.992261
19.537321,57.347837,0.452333,0.238357,0.991596
19.537321,54.798631,0.450516,0.218786,0.990417
19.537321,50.075568,0.442649,0.194500,0.988871
19.537321,52.193179,0.438518,0.217214,0.986771
19.537321,51.685385,0.419400,0.206357,0.983663
19.537321,48.175860,0.404976,0.196143,0.982495
19.537321,49.372735,0.396941,0.180786,0.979830
19.537321,39.385347,0.371794,0.168714,0.977125
19.537321,36.151268,0.349314,0.163429,0.975082
19.537321,34.789542,0.339757,0.158214,0.973306
18.240465,30.487440,0.320367,0.152500,0.969473
18.240465,32.983554,0.331449,0.156571,0.971670
18.240465,28.334951,0.310437,0.138643,0.969217
16.825226,29.134087,0.317012,0.143500,0.969638
16.825226,27.633949,0.309182,0.145429,0.970223
15.657545,27.187626,0.305998,0.150929,0.969998
15.657545,24.101272,0.291661,0.139643,0.971450
15.657545,26.752804,0.302971,0.144000,0.972134
15.657545,26.621664,0.301749,0.144571,0.975446
10.973549,21.511710,0.293694,0.134500,0.975320
10.973549,24.443238,0.296690,0.143429,0.977817
10.973549,26.982587,0.294086,0.140429,0.979281
9.999105,21.518322,0.283414,0.132714,0.979049
9.999105,23.774965,0.274784,0.133929,0.977686
6.597476,22.557200,0.274473,0.125500,0.976827
6.597476,17.512659,0.263037,0.119357,0.976211
6.597476,16.915928,0.269149,0.130500,0.976979
6.572938,17.760896,0.268022,0.130214,0.978696
6.334567,15.573081,0.263545,0.124214,0.976416
4.917763,12.153070,0.255341,0.111500,0.975034
4.917763,10.948680,0.251382,0.115429,0.975470
4.917763,9.855037,0.249467,0.112714,0.977279
2.368125,9.925390,0.250782,0.122286,0.977058
2.368125,8.746059,0.248037,0.112929,0.973903
2.368125,8.768726,0.244380,0.108857,0.971572
2.368125,9.721124,0.242039,0.111286,0.971578
2.368125,9.853355,0.239996,0.116857,0.971143
2.368125,8.369300,0.233118,0.116857,0.972726
2.368125,7.386816,0.235924,0.108929,0.973883
2.368125,7.297331,0.242453,0.116357,0.970932
2.368125,7.250218,0.244835,0.114071,0.970927
2.368125,6.330407,0.245014,0.112857,0.970331
2.368125,6.553685,0.249916,0.111500,0.968823
2.368125,5.239717,0.239884,0.113786,0.967758
2.368125,5.384619,0.234341,0.111929,0.968696
2.368125,5.497875,0.235027,0.111500,0.972309
2.368125,4.664732,0.236510,0.105786,0.973659
2.291952,5.655429,0.244112,0.104929,0.977848
2.291952,6.177766,0.246467,0.120214,0.979845
2.291952,7.093808,0.240067,0.110571,0.977849
2.072605,5.564957,0.241367,0.114786,0.978771
2.072605,5.939024,0.236584,0.109214,0.981818
2.072605,4.361812,0.223861,0.105857,0.985146
1.910592,3.107937,0.221900,0.104357,0.985907
1.910592,3.279696,0.220478,0.106643,0.985403
1.910592,3.517772,0.225733,0.098643,0.986855
1.779302,3.788909,0.219120,0.094857,0.986218
1.506520,3.722467,0.215337,0.096929,0.986418
1.506520,4.329342,0.216982,0.104357,0.986023
1.506520,3.530595,0.214404,0.099929,0.983471
1.486864,3.185610,0.208171,0.096500,0.982288
1.191035,2.594885,0.209206,0.099429,0.983066
1.191035,2.735167,0.211004,0.103786,0.982318
1.030317,2.289273,0.204663,0.095214,0.981117
1.030317,3.455774,0.205000,0.097571,0.980310
1.030317,2.392161,0.203010,0.098000,0.978916
1.030317,2.239293,0.201998,0.094429,0.978461
0.900120,2.405488,0.196667,0.093429,0.977248
0.900120,3.449214,0.192682,0.089714,0.976927
0.900120,2.808480,0.183639,0.084143,0.978468
0.832808,2.300012,0.175414,0.074286,0.979143
0.832808,2.050610,0.173359,0.071929,0.980126
0.796843,2.225274,0.173459,0.072429,0.980156
0.796843,2.354575,0.176357,0.075286,0.981319
0.796843,2.843157,0.172906,0.073071,0.980541
0.785967,2.574522,0.169729,0.078500,0.983185
0.762149,4.702211,0.165410,0.078214,0.982382
0.709966,4.222138,0.166333,0.078571,0.980977
0.709966,2.558284,0.162357,0.077000,0.978762
0.709966,1.792004,0.160633,0.075571,0.973807
0.666377,2.048585,0.155108,0.066929,0.972926
0.666377,3.458550,0.154622,0.070214,0.966485
0.665038,2.435513,0.155863,0.071786,0.965366
0.665038,1.876860,0.166188,0.075500,0.968853
0.648243,3.360274,0.168865,0.077071,0.969738
0.648243,4.248651,0.171220,0.078571,0.968366
0.648243,3.601282,0.171241,0.078571,0.968917
0.614809,3.512182,0.173998,0.081929,0.969748
0.609740,2.667797,0.169576,0.082500,0.965118
0.609740,2.328721,0.167843,0.082143,0.965594
0.603756,2.527220,0.160847,0.079000,0.965703
0.603217,2.017422,0.159443,0.075929,0.966492
0.600713,2.076013,0.165129,0.078143,0.970434
0.590741,3.007959,0.172488,0.083143,0.972633
0.590741,2.736426,0.175361,0.085429,0.972641
0.578107,2.272581,0.172998,0.079643,0.971228
0.578107,2.966741,0.171353,0.081429,0.970811
0.571416,1.525641,0.168363,0.077786,0.968697
0.571416,1.662893,0.168245,0.068143,0.967908
0.561658,2.071037,0.163863,0.067786,0.967662
0.152490,1.199192,0.167502,0.078071,0.968824
0.152490,1.821070,0.168133,0.084857,0.968506
0.152490,2.203411,0.163198,0.076071,0.969838
0.152490,3.005046,0.160967,0.075071,0.967638
0.152490,3.302350,0.158580,0.074857,0.969245
0.042020,3.790813,0.158359,0.080429,0.968088
0.042020,2.003274,0.156614,0.074714,0.969968
0.042020,1.659541,0.154159,0.071143,0.971076
0.042020,1.575619,0.159271,0.079786,0.969876
0.042020,2.851657,0.155604,0.072071,0.967351
0.042020,1.856289,0.156116,0.075714,0.966860
0.040103,1.217240,0.158773,0.071786,0.967967
0.040103,1.640727,0.156567,0.080643,0.970164
0.029262,0.762050,0.150680,0.070929,0.970169
0.026851,0.956098,0.150324,0.075214,0.969035
0.026851,0.943557,0.150867,0.074500,0.970117
0.026851,0.928231,0.149233,0.070357,0.972777
0.026851,0.841903,0.149257,0.068857,0.972328
0.026851,2.751245,0.148539,0.069357,0.974256
0.023742,3.810976,0.149863,0.073786,0.974635
0.023742,3.354739,0.151561,0.075714,0.976524
0.018655,3.113044,0.151835,0.069357,0.977210
