MejorEval,PromedioEval
22.157916,87.607450
38.719657,83.546401
26.844723,82.765704
30.132830,81.521178
28.616745,89.192173
20.241355,88.078660
21.495184,83.964842
23.167424,91.519276
16.834971,91.520268
19.341920,85.048171
19.769916,85.744607
21.984133,85.071509
21.130702,84.452291
19.543503,88.159550
17.354809,88.592946
33.729496,92.708524
40.050752,95.754448
31.762597,94.482451
37.417449,93.509915
40.077947,88.642288
36.210566,89.535772
55.685979,93.490341
41.693754,88.867560
47.292514,90.077717
43.526687,89.007922
35.691683,88.927439
43.583219,91.525091
40.797901,91.808942
33.269182,92.819574
37.172582,94.375877
49.666172,94.581272
46.571484,95.145947
48.858857,91.004971
45.769544,90.522114
34.655370,91.315985
47.361620,98.119088
56.281417,100.032530
48.813902,96.785945
58.193677,101.898954
49.243143,94.752491
34.404171,97.728699
49.685261,94.390104
47.676595,95.875417
42.715819,94.162225
28.028071,94.502538
35.317915,94.240175
32.655781,90.994748
41.735735,89.569294
47.124313,97.811974
40.986711,97.271898
38.977405,91.240389
37.781561,91.259730
27.794309,88.814081
40.074286,87.634024
38.629969,87.724372
24.771949,82.807783
32.574956,83.999482
20.428233,83.848463
32.302594,79.289018
39.278597,78.009469
24.858108,78.621051
26.013515,79.497354
38.432029,82.576110
27.510486,86.073581
36.650718,84.889107
39.567717,89.276727
28.253108,89.240733
27.214086,89.398212
28.083136,94.679009
39.507270,92.034621
42.751220,95.068928
39.934259,92.776583
34.665932,87.218722
33.873060,88.354553
39.844357,84.450390
35.388799,85.938100
43.212420,91.228371
22.970158,92.583280
43.964027,94.488926
54.874490,91.076464
48.434648,93.306202
43.386408,91.185565
41.953915,96.250846
39.217809,90.514222
34.672577,82.707022
30.033514,82.277965
49.314382,90.939628
47.462618,92.437995
31.547397,96.155465
39.304645,91.054863
37.046454,90.742054
47.307886,90.905907
46.974014,95.212408
41.712900,96.300289
38.747210,96.047631
43.495128,92.882897
37.386261,94.947867
32.583017,94.119432
38.306241,91.220815
26.950503,88.490455
28.515529,85.921809
29.940382,90.263182
35.316330,90.264524
42.800592,89.942291
36.602171,89.557734
40.169700,90.778407
38.738597,90.097051
30.603710,85.186034
40.885852,86.488995
42.454595,87.629612
46.309130,88.331416
42.322609,82.860752
43.597571,85.965804
41.482982,87.048471
41.607570,84.066553
39.604845,81.231250
41.645735,80.637667
46.124489,80.530009
41.008679,83.152051
51.234455,85.580933
45.549301,83.434226
40.585250,81.537898
32.810177,82.244262
36.301750,81.017588
41.757794,87.789391
34.055361,83.868370
40.298132,84.032359
41.417944,88.494583
45.784109,86.910699
43.345683,88.703819
42.851755,86.687679
48.385960,87.789738
34.982812,86.938721
47.344471,87.866247
43.383504,86.206614
42.696350,87.534996
37.193873,88.752774
40.477586,91.956590
40.825989,85.482605
41.053692,84.039176
43.044609,86.770993
50.777924,95.378560
38.189850,88.312754
39.860143,87.096409
30.608441,87.482618
38.072022,89.606523
26.896431,86.556172
30.581460,89.781875
43.112560,95.059528
44.940874,92.738660
36.695673,84.978351
37.750776,92.544643
50.732291,91.766070
47.339746,90.499213
48.263372,86.153716
42.552647,84.273087
38.886128,82.080399
41.275465,82.853357
47.994819,88.139890
46.317577,84.599094
52.138814,84.433853
40.155365,89.862847
43.451558,85.732974
38.730715,79.800873
39.503550,83.288872
38.552643,80.085577
37.788290,82.643456
41.389506,82.834640
34.860752,79.177232
37.489540,81.268177
31.352113,80.937907
34.354177,84.897883
41.912008,86.662553
37.956471,87.379094
36.494699,91.338113
38.584850,98.309696
50.844262,92.591784
41.163330,87.746217
37.115384,86.235700
41.280654,91.831986
52.794430,92.194058
31.400846,90.195087
50.273623,89.401066
49.100361,91.410308
48.527497,92.344901
39.872144,85.822097
34.808925,86.305305
42.563042,92.040807
40.507106,94.027239
38.738944,93.616289
34.076157,87.424477
36.223338,89.377064
35.498487,90.057882
29.701045,87.338419
33.778280,85.499230
43.694058,85.201199
28.743214,81.332399
25.756287,80.434185
25.968551,78.105822
32.943046,78.390639
42.650775,82.757215
30.077912,89.124717
47.389181,90.111141
34.096985,88.251613
49.766284,84.555341
48.048572,87.451941
44.718063,85.430095
42.527585,86.319298
48.766914,86.520676
43.719084,85.702469
52.308067,87.006756
55.008888,84.563082
51.862221,83.382727
52.975616,84.417220
46.557685,85.426139
46.938582,81.311305
47.030992,81.084153
44.843206,83.462164
42.652061,82.759712
37.460319,87.287641
42.836453,81.588652
40.873326,81.167346
45.782354,83.275640
45.862576,83.384272
39.634273,80.846529
30.050770,79.092417
46.351228,83.012419
45.930228,88.645330
43.270212,85.563174
52.514817,87.814402
40.065111,85.207474
46.077856,86.853563
46.448319,90.433517
36.633787,89.383182
54.902294,90.843423
47.583863,88.373002
49.452950,85.828052
49.234966,88.581541
46.689407,87.033800
35.470378,89.160435
43.425802,94.203547
40.345382,91.622353
44.890632,91.784295
41.517004,89.838034
43.978464,87.181110
38.232218,85.083215
49.596476,90.502252
43.201300,90.014282
40.687494,91.796601
41.663248,91.402514
57.005160,97.119692
49.624055,96.815009
44.946110,99.576507
57.249126,97.382035
49.384398,98.330055
52.798416,95.783508
53.600693,99.272015
46.512388,98.894142
54.074057,97.639349
56.490833,96.183803
52.167670,95.409278
54.036577,101.503166
59.159354,97.517386
51.279165,99.756488
44.837547,95.543305
31.731662,99.052477
46.454224,94.945668
50.867575,97.752287
50.434530,95.484144
46.335378,96.047049
43.610681,93.499698
56.481801,93.004144
43.277625,89.508701
33.433860,87.957742
33.457919,85.264915
33.147355,85.432078
31.003068,87.779985
34.141178,83.016033
27.843929,79.047650
26.475652,77.991968
22.293029,80.220701
13.488811,75.682369
34.630283,75.535582
30.130545,73.701998
29.226362,80.147407
29.384039,76.039198
23.642800,77.620173
31.341427,78.059303
34.858325,77.566999
36.081934,83.222931
28.735920,79.707592
40.014592,81.195134
43.585185,81.075120
34.708686,81.419216
30.917032,82.536814
32.075940,77.841617
29.687577,73.453611
31.254639,77.092829
23.498871,80.322914
34.927680,77.414989
30.318539,80.321964
37.084916,79.407806
35.657875,77.711394
33.419630,76.940018
24.592822,71.498142
24.293271,74.250703
26.838322,74.688061
33.169020,73.059774
29.902837,72.684445
26.032164,71.944857
26.463021,78.356709
26.096443,76.296816
35.240933,78.517426
29.753950,73.611699
38.035289,75.140009
41.077007,78.864921
29.872465,79.151867
26.458825,84.292503
18.438070,83.317621
20.420005,83.499915
18.263462,83.211996
39.677431,81.700011
16.953714,86.193798
20.685015,87.529264
22.614556,88.246068
29.938142,85.621466
44.015008,92.309214
23.799451,96.453144
44.478361,97.494734
34.381075,95.065592
36.126572,88.525388
39.979573,96.082276
35.675321,97.279825
47.085574,92.455453
41.950256,96.194724
51.986254,94.586324
51.838704,96.784040
43.428416,94.286775
58.557554,95.172160
55.515616,93.499529
52.084490,95.526478
49.210712,95.825842
58.024156,99.620069
42.816592,95.541466
52.559716,93.986047
38.961076,93.743449
51.362614,90.510522
38.254003,88.211160
54.491345,86.589802
45.010301,84.172506
35.908500,80.486810
43.891835,81.438221
40.084550,79.599772
42.898229,77.015587
45.402835,77.745013
34.903548,76.803580
37.846493,76.013121
39.499102,81.836173
39.604522,75.992803
24.137654,76.830006
42.020569,76.782101
39.073786,76.698127
46.864437,80.127598
40.812529,78.704291
41.098855,76.811176
36.411059,78.844414
36.433404,77.280682
36.376678,78.321354
33.226064,70.733265
34.479179,73.375401
27.569966,72.147454
33.420079,73.670775
25.640786,73.551925
39.650611,72.854584
25.786034,70.291463
31.271589,70.337278
30.524411,72.392216
25.954059,73.894981
38.423602,75.687164
30.206171,76.781900
31.131474,74.803042
35.475455,75.041913
38.264877,75.536864
30.269844,74.603434
24.481589,78.888752
38.327640,79.713732
43.279306,79.710103
33.987305,81.749390
44.992648,82.768098
30.676794,77.809542
33.654925,72.346977
39.679531,73.070230
34.080009,76.997530
41.709433,76.972680
33.797179,77.857636
26.829433,88.703500
41.654025,88.800007
44.467112,87.384374
32.968861,85.620177
34.506377,89.876223
20.852623,88.036051
39.563421,85.691275
40.164514,82.993467
39.290419,77.990558
31.645615,80.097218
16.071136,78.588536
30.718803,76.546365
33.656002,75.463750
32.731230,76.986794
39.564381,77.372291
41.236307,75.339430
40.835433,79.797157
45.856449,78.814284
32.111077,75.367158
40.918078,75.463354
31.415269,75.005168
30.638867,79.475147
38.305719,77.503627
52.519329,86.319403
40.123880,79.376091
40.479485,78.972505
35.522382,81.060837
39.834712,78.156614
37.690196,83.512596
47.040972,84.267146
28.055653,86.666911
49.319184,87.400663
36.704179,84.914039
35.851404,85.346861
36.443239,85.164918
44.535594,85.327154
36.916665,82.229292
44.876924,82.953515
49.170402,88.093801
24.866647,86.196771
45.175139,85.111766
46.358163,82.375844
44.830398,83.750845
37.229371,82.774527
34.647175,75.279100
39.726041,81.692547
28.714757,80.316027
30.764830,81.424320
31.129128,77.241134
32.189886,84.507190
45.316161,85.032790
23.334749,85.270091
41.282249,84.094792
40.840056,81.941800
35.293105,84.882571
42.167496,83.420021
35.370927,85.116333
44.525743,89.800314
42.225497,89.197771
39.328824,85.445582
34.565849,85.506304
37.924313,84.918635
39.041465,83.866189
30.925152,84.078833
43.921089,87.808586
41.625392,84.863870
42.024578,85.795290
39.022474,87.068940
38.639679,90.488858
37.898036,89.059284
32.497512,87.088346
30.948901,88.827411
36.627149,95.719365
34.787690,92.455301
53.345730,96.492396
55.556972,95.249251
48.598356,89.399976
49.548103,90.934233
49.991123,98.908699
25.614363,95.135775
27.750668,91.814730
42.071367,89.752142
30.969583,85.817945
26.119973,81.164168
37.184964,85.367861
22.098038,81.385424
24.547052,81.279100
38.122776,81.915369
32.526761,81.129032
43.915668,84.753383
40.124798,86.333185
43.922833,85.292337
37.529096,82.125650
30.523613,83.312521
16.157700,80.682773
19.901215,79.020458
39.449750,82.600439
28.217121,78.574528
38.529875,80.249067
44.054051,79.147481
24.417281,81.686501
39.500760,82.420696
35.780086,81.190828
30.344209,77.582321
32.217898,80.803189
21.441867,80.970083
41.355485,82.109948
34.968384,85.897810
41.717950,89.135369
39.421384,88.505073
29.651143,85.809954
38.455226,86.375674
40.353076,92.364415
42.101767,74.755591
35.294924,77.401996
29.664027,74.230346
25.353592,74.857170
25.095919,77.357888
46.568147,73.339434
28.629218,72.570829
28.138480,75.366880
30.347703,85.001535
36.147496,85.753925
30.945361,80.630337
36.156273,81.311645
33.332804,82.978084
27.854450,81.763006
27.649587,77.760337
29.028090,77.394525
21.746016,76.855006
21.938642,78.489997
20.953667,82.728369
20.137815,83.222427
27.826640,79.004061
19.486825,76.250886
25.771246,77.928452
25.019939,78.523811
28.328752,78.329387
23.443363,78.716277
29.705329,79.014472
23.010353,83.892317
23.662147,88.274672
27.485929,96.700136
53.449089,93.027592
32.835424,89.843898
36.673700,88.480420
43.606984,84.336914
43.278213,82.405547
12.222824,77.638196
16.971932,77.050328
31.969507,81.242476
29.027286,81.882037
35.013666,78.767756
25.397271,81.875944
34.264922,86.965590
34.861333,84.829830
36.419160,85.212953
31.639721,84.353770
25.458684,78.167084
25.140572,83.426926
36.275509,85.334777
32.613143,85.787296
31.484879,84.178379
29.051621,81.212576
26.690412,83.927973
22.632877,85.587709
31.391740,79.405454
22.949415,80.637600
31.073840,76.906470
21.532807,78.585286
19.937199,77.111451
23.879145,82.141433
24.513534,79.213925
25.231481,85.476001
37.403302,92.113972
33.284502,88.066358
40.961623,91.481794
41.815805,100.946077
36.930544,102.600792
34.158581,96.286288
31.934278,93.729978
35.265731,94.494974
44.397569,99.994794
24.498025,98.682572
50.724180,100.640707
44.514890,98.588017
48.730310,96.962957
54.616817,96.954262
60.005984,98.581611
50.939160,98.022017
55.029010,98.165025
56.855417,97.599854
63.915626,101.749663
54.780438,103.764391
51.117687,101.239999
56.163551,101.681664
57.291634,103.554713
46.422025,100.406349
58.215778,101.945908
61.838637,99.537970
47.604418,101.594405
50.268771,100.251305
53.752239,99.684999
45.045734,100.199371
45.624363,101.844231
57.866878,99.685115
50.003336,97.519885
45.574646,97.966107
56.272693,98.445827
54.243879,101.858603
52.399757,100.042563
51.093756,97.533235
45.051447,100.569948
36.396531,100.226834
56.902573,101.219195
33.846805,96.003312
54.040995,95.420150
52.865517,96.320265
55.946811,93.328909
53.605729,89.329837
43.586494,92.339075
44.690278,91.577715
42.262397,88.181983
26.010532,83.288247
39.089358,78.680024
46.530156,80.950952
43.374028,83.219372
43.947949,83.543067
44.051750,82.588688
40.133570,82.575140
32.529356,82.394450
40.961578,83.649838
42.616436,83.719391
36.314895,88.488429
43.327471,88.629943
42.466685,87.047441
48.115735,82.483520
49.933776,84.097254
41.369890,85.616902
41.466839,84.439264
49.144485,88.892906
49.431815,83.412965
43.472521,84.914612
41.768138,85.331419
47.224627,87.493096
40.597672,87.118545
59.835148,86.441724
42.261736,86.435118
35.910462,86.477483
44.574289,85.873525
43.623188,92.730271
