MejorEval,PromedioEval,ContadorFueraDeRango,UltimaEnRango
72.327296,146.731790,6,1.0
62.565687,185.998600,6,1.0
46.379942,152.449742,6,1.0
46.379942,152.023736,6,1.0
46.379942,144.210201,6,1.0
46.379942,144.979789,6,1.0
46.379942,149.272765,6,1.0
46.379942,143.114039,6,1.0
46.379942,145.061736,6,1.0
46.379942,132.345831,6,1.0
46.379942,139.793160,6,1.0
43.129682,129.061296,6,1.0
43.129682,149.289925,6,1.0
43.129682,220.440265,6,1.0
43.129682,201.961373,6,1.0
43.129682,156.596991,6,1.0
43.129682,234.759135,6,1.0
43.129682,187.875253,6,1.0
43.129682,237.813120,6,1.0
43.129682,238.659725,6,1.0
43.129682,197.831372,6,1.0
43.129682,207.605949,6,1.0
43.129682,240.618899,6,1.0
43.129682,181.160321,6,1.0
43.129682,198.743935,6,1.0
43.129682,168.298247,6,1.0
43.129682,213.141818,6,1.0
43.129682,179.690434,6,1.0
43.129682,188.332292,6,1.0
43.129682,191.688638,6,1.0
43.129682,178.529878,6,1.0
43.129682,171.254263,6,1.0
43.129682,167.005976,6,1.0
43.129682,157.859367,6,1.0
41.803172,159.335072,6,1.0
41.803172,157.158047,6,1.0
41.803172,159.205764,6,1.0
41.803172,171.190721,6,1.0
41.803172,143.107922,6,1.0
41.803172,164.122413,6,1.0
41.803172,153.589312,6,1.0
41.803172,156.171645,6,1.0
41.803172,167.734336,6,1.0
41.803172,165.964427,6,1.0
41.803172,139.190050,6,1.0
41.803172,165.274293,6,1.0
41.803172,136.724852,6,1.0
41.803172,164.874748,6,1.0
41.803172,135.768748,6,1.0
41.803172,129.929631,6,1.0
41.803172,152.318031,6,1.0
41.803172,176.202604,6,1.0
41.803172,130.198707,6,1.0
41.803172,153.932876,6,1.0
41.803172,127.543561,6,1.0
41.803172,154.439048,6,1.0
41.803172,144.202692,6,1.0
41.803172,120.891518,6,1.0
36.535988,134.464221,6,1.0
36.535988,119.459661,6,1.0
36.535988,139.929730,6,1.0
31.887412,137.592848,6,1.0
31.887412,121.751914,6,1.0
31.887412,136.788219,6,1.0
31.887412,136.875408,6,1.0
31.887412,155.990536,6,1.0
31.887412,125.496384,6,1.0
31.887412,133.118057,6,1.0
31.887412,139.902102,6,1.0
31.887412,126.811848,6,1.0
31.887412,119.298498,6,1.0
31.887412,118.967188,6,1.0
31.887412,109.490420,6,1.0
31.887412,119.412298,6,1.0
31.887412,108.030626,6,1.0
31.887412,106.066914,6,1.0
31.887412,94.689980,6,1.0
31.887412,97.442949,6,1.0
